team,season,position_group,total_cap_allocated
CAR,2022,DL,27.894199
CAR,2022,LB,29.129171
CAR,2022,OL,50.728701
CAR,2022,QB,10.586319
CAR,2022,RB,5.230957
CAR,2022,ST,7.860176
CAR,2022,TE,7.9142090000000005
CAR,2022,WR,29.360621000000002
CAR,2023,CB_S,48.900303
CAR,2023,DL,19.503184
CAR,2023,LB,16.663467
CAR,2023,OL,46.788302
CAR,2023,QB,14.704768999999999
CAR,2023,RB,9.955556
CAR,2023,ST,6.1235
CAR,2023,TE,13.406609
CAR,2023,WR,25.625169
CAR,2024,CB_S,27.112435
CAR,2024,DL,45.864072
CAR,2024,LB,19.364126
CAR,2024,OL,76.726865
CAR,2024,QB,15.435436
CAR,2024,RB,22.255171
CAR,2024,ST,6.911833
CAR,2024,TE,7.706068
CAR,2024,WR,20.790927
CHI,2013,CB_S,11.062734
CHI,2013,DL,27.865466
CHI,2013,LB,10.133223000000001
CHI,2013,OL,13.789438
CHI,2013,QB,15.321250000000001
CHI,2013,RB,11.1
CHI,2013,TE,5.1
CHI,2013,WR,9.322958999999999
CHI,2014,CB_S,15.208473
CHI,2014,DL,21.813491
CHI,2014,LB,8.740323
CHI,2014,OL,15.567105999999999
CHI,2014,QB,18.610000000000003
CHI,2014,RB,8.265844999999999
CHI,2014,ST,0.581327
CHI,2014,TE,5.1
CHI,2014,WR,13.273745
CHI,2015,CB_S,12.66902
CHI,2015,DL,6.373594
CHI,2015,LB,2.17299
CHI,2015,OL,15.330934
CHI,2015,QB,18.3125
CHI,2015,RB,9.756751
CHI,2015,ST,1.166327
CHI,2015,TE,6.505
CHI,2015,WR,7.215745
CHI,2016,CB_S,20.040913
CHI,2016,DL,13.039474
CHI,2016,LB,13.40878
CHI,2016,OL,35.515466
CHI,2016,QB,21.375
CHI,2016,RB,2.513757
CHI,2016,ST,0.581327
CHI,2016,TE,6.109999999999999
CHI,2016,WR,23.250287
CHI,2017,CB_S,23.724532
CHI,2017,DL,18.602292
CHI,2017,LB,15.398579999999999
CHI,2017,OL,41.132209
CHI,2017,QB,24.723109
CHI,2017,RB,4.654896
CHI,2017,ST,5.111327
CHI,2017,TE,11.337429
CHI,2017,WR,20.483362
CHI,2018,CB_S,17.752109
CHI,2018,DL,25.869115999999998
CHI,2018,LB,14.704315999999999
CHI,2018,OL,33.906881
CHI,2018,QB,13.053109
CHI,2018,RB,4.590584
CHI,2018,ST,6.9775
CHI,2018,TE,17.795029
CHI,2018,WR,32.014698
CHI,2019,CB_S,23.308504
CHI,2019,DL,26.34537
CHI,2019,LB,16.432716
CHI,2019,OL,43.356912
CHI,2019,QB,13.084509
CHI,2019,RB,2.483134
CHI,2019,ST,3.7241660000000003
CHI,2019,TE,13.271129
CHI,2019,WR,31.279052
CHI,2020,CB_S,32.630978
CHI,2020,DL,29.671503
CHI,2020,LB,17.684036
CHI,2020,OL,28.04109
CHI,2020,QB,15.543709
CHI,2020,RB,7.857512
CHI,2020,ST,4.285833
CHI,2020,TE,15.619447
CHI,2020,WR,33.513081
CHI,2021,CB_S,28.600678
CHI,2021,DL,28.706604
CHI,2021,LB,16.899103
CHI,2021,OL,25.083061
CHI,2021,QB,22.883588
CHI,2021,RB,10.258521
CHI,2021,ST,5.8774999999999995
CHI,2021,TE,14.053114
CHI,2021,WR,27.17911
CHI,2022,CB_S,33.431521000000004
CHI,2022,DL,18.151795
CHI,2022,LB,11.759666
CHI,2022,OL,33.082122999999996
CHI,2022,QB,7.353388000000001
CHI,2022,RB,4.888338
CHI,2022,ST,6.252286
CHI,2022,TE,5.15909
CHI,2022,WR,15.152918999999999
CHI,2023,CB_S,29.459248
CHI,2023,DL,59.540800000000004
CHI,2023,LB,28.861237
CHI,2023,OL,41.150847
CHI,2023,QB,6.8571550000000006
CHI,2023,RB,9.027332
CHI,2023,ST,6.657553
CHI,2023,TE,19.928333
CHI,2023,WR,28.821224
CHI,2024,CB_S,40.994952
CHI,2024,DL,48.793418
CHI,2024,LB,30.39707
CHI,2024,OL,33.924167
CHI,2024,QB,11.723182000000001
CHI,2024,RB,12.323005
CHI,2024,ST,8.319475
CHI,2024,TE,21.410800000000002
CHI,2024,WR,32.36532
CIN,2013,CB_S,23.802977
CIN,2013,DL,43.362325999999996
CIN,2013,LB,6.585333
CIN,2013,OL,23.936308
CIN,2013,QB,2.25105
CIN,2013,RB,4.878885
CIN,2013,ST,5.29
CIN,2013,TE,5.719925
CIN,2013,WR,9.513112
CIN,2014,CB_S,26.548957
CIN,2014,DL,30.52842
CIN,2014,LB,13.735328
CIN,2014,OL,21.972922
CIN,2014,QB,18.100413
CIN,2014,RB,2.817286
CIN,2014,ST,5.29
CIN,2014,TE,5.600933
CIN,2014,WR,9.736388999999999
CIN,2015,CB_S,25.972046
CIN,2015,DL,34.027742
CIN,2015,LB,17.94857
CIN,2015,OL,27.853255
CIN,2015,QB,16.712613
CIN,2015,RB,2.817286
CIN,2015,ST,5.54
CIN,2015,TE,4.494443
CIN,2015,WR,16.889013
CIN,2016,CB_S,29.935071
CIN,2016,DL,30.812652999999997
CIN,2016,LB,19.01191
CIN,2016,OL,24.201179
CIN,2016,QB,17.153135
CIN,2016,RB,7.160618
CIN,2016,ST,6.785
CIN,2016,TE,6.956110000000001
CIN,2016,WR,21.862182
CIN,2017,CB_S,35.441614
CIN,2017,DL,30.852391
CIN,2017,LB,21.085836999999998
CIN,2017,OL,18.575439
CIN,2017,QB,16.613135
CIN,2017,RB,10.340009
CIN,2017,ST,6.092499999999999
CIN,2017,TE,8.119181000000001
CIN,2017,WR,27.294074000000002
CIN,2018,CB_S,23.361901
CIN,2018,DL,44.417778
CIN,2018,LB,24.459535
CIN,2018,OL,34.638116000000004
CIN,2018,QB,18.872335
CIN,2018,RB,9.148045
CIN,2018,ST,6.425
CIN,2018,TE,7.747981
CIN,2018,WR,26.653274
CIN,2019,CB_S,29.282277
CIN,2019,DL,39.282311
CIN,2019,LB,4.188922
CIN,2019,OL,38.391335
CIN,2019,QB,16.827414
CIN,2019,RB,8.571664
CIN,2019,ST,7.116
CIN,2019,TE,12.169573999999999
CIN,2019,WR,34.664032
CIN,2020,CB_S,36.524262
CIN,2020,DL,42.42324
CIN,2020,LB,6.569514
CIN,2020,OL,38.560782
CIN,2020,QB,10.425748
CIN,2020,RB,19.939123000000002
CIN,2020,ST,6.737914
CIN,2020,TE,11.206574
CIN,2020,WR,22.249595999999997
CIN,2021,CB_S,44.86667
CIN,2021,DL,56.513221
CIN,2021,LB,8.367584
CIN,2021,OL,22.730417
CIN,2021,QB,10.713134
CIN,2021,RB,14.894421999999999
CIN,2021,ST,6.294029
CIN,2021,TE,9.521141
CIN,2021,WR,22.999208
CIN,2022,CB_S,36.430537
CIN,2022,DL,55.363959
CIN,2022,LB,7.78225
CIN,2022,OL,31.651746
CIN,2022,QB,10.482201
CIN,2022,RB,17.912389
CIN,2022,ST,2.9196289999999996
CIN,2022,TE,9.383142
CIN,2022,WR,25.801941
CIN,2023,CB_S,26.253289
CIN,2023,DL,64.410056
CIN,2023,LB,22.024148
CIN,2023,OL,23.146635
CIN,2023,QB,56.182
CIN,2023,RB,10.043261
CIN,2023,ST,3.026262
CIN,2023,TE,3.477333
CIN,2023,WR,26.202983
CIN,2024,CB_S,29.869382
CIN,2024,DL,66.595621
CIN,2024,LB,21.889166
CIN,2024,OL,33.339784
CIN,2024,QB,57.221567
CIN,2024,RB,11.21167
CIN,2024,ST,10.356666
CIN,2024,TE,10.49154
CIN,2024,WR,37.848343
CLE,2016,CB_S,32.38834
CLE,2016,DL,17.573787
CLE,2016,LB,9.509573
CLE,2016,OL,26.016783
CLE,2016,QB,17.156087
CLE,2016,RB,3.909695
CLE,2016,ST,3.3449999999999998
CLE,2016,TE,5.762731999999999
CLE,2016,WR,24.376716000000002
CLE,2017,CB_S,17.929672
CLE,2017,DL,21.532502
CLE,2017,LB,27.604122
CLE,2017,OL,42.079699
CLE,2017,QB,2.579374
CLE,2017,RB,4.993233
CLE,2017,ST,4.483959
CLE,2017,TE,4.948868000000001
CLE,2017,WR,10.328214
CLE,2018,CB_S,34.714643
CLE,2018,DL,23.205184
CLE,2018,LB,25.798629
CLE,2018,OL,37.226633
CLE,2018,QB,27.241078
CLE,2018,RB,7.429907
CLE,2018,ST,5.468334
CLE,2018,TE,9.404684
CLE,2018,WR,22.896591
CLE,2019,CB_S,30.796201
CLE,2019,DL,46.658759
CLE,2019,LB,16.281826
CLE,2019,OL,32.405532
CLE,2019,QB,12.246745
CLE,2019,RB,5.5199739999999995
CLE,2019,ST,2.3451139999999997
CLE,2019,TE,7.390536
CLE,2019,WR,23.703684
CLE,2020,CB_S,34.771643
CLE,2020,DL,64.622311
CLE,2020,LB,8.518915
CLE,2020,OL,55.118501
CLE,2020,QB,15.077712
CLE,2020,RB,8.242574
CLE,2020,ST,2.56
CLE,2020,TE,15.387644
CLE,2020,WR,20.911002
CLE,2021,CB_S,33.041973999999996
CLE,2021,DL,47.590323999999995
CLE,2021,LB,6.470804
CLE,2021,OL,64.976979
CLE,2021,QB,15.978245000000001
CLE,2021,RB,22.917686
CLE,2021,ST,3.0530999999999997
CLE,2021,TE,16.381277
CLE,2021,WR,23.827458999999998
CLE,2022,CB_S,42.948535
CLE,2022,DL,48.32288
CLE,2022,LB,22.801303
CLE,2022,OL,54.229346
CLE,2022,QB,51.955853
CLE,2022,RB,19.613323
CLE,2022,ST,5.111299
CLE,2022,TE,19.393508
CLE,2022,WR,31.196727
CLE,2023,CB_S,53.259419
CLE,2023,DL,61.642397
CLE,2023,LB,10.577739
CLE,2023,OL,68.69245599999999
CLE,2023,QB,48.556367
CLE,2023,RB,16.061336999999998
CLE,2023,ST,6.334889
CLE,2023,TE,19.039167
CLE,2023,WR,31.955337
CLE,2024,CB_S,53.048635000000004
CLE,2024,DL,53.652461
CLE,2024,LB,25.042333
CLE,2024,OL,66.765562
CLE,2024,QB,51.270567
CLE,2024,RB,7.475037
CLE,2024,ST,9.748889
