team,season,CB_S,DL,LB,OL,QB,RB,ST,TE,WR,total_cap,pct_CB_S,pct_DL,pct_LB,pct_OL,pct_QB,pct_RB,pct_ST,pct_TE,pct_WR,wins,games,point_diff,win_pct
BUF,2020,48.53065,57.183725,20.278895,47.866314,8.048767000000002,9.64982,2.497606,9.093538,36.732415,239.88172999999998,0.20231073871278152,0.23838299398624485,0.08453705498955673,0.19954130729338998,0.03355306383691664,0.040227407064306234,0.010411822526042315,0.037908422621430994,0.15312718896933086,15,19,129.0,0.7894736842105263
BUF,2021,53.407709,42.597323,23.939686,42.988401,45.703622,6.586453000000001,4.193739,3.089371,32.600428,255.106732,0.2093543693703857,0.16697843552007874,0.09384184342105091,0.1685114330891119,0.17915490368164805,0.02581842097369661,0.016439154573153328,0.012110111621828937,0.12779132774904584,12,19,218.0,0.631578947368421
BUF,2022,59.924144,31.443997,22.361534,43.462133,47.645,7.277515999999999,4.444676,14.648638,35.822987,267.030625,0.22440925642892084,0.11775427256705107,0.08374145849375891,0.1627608556134713,0.17842522744348147,0.02725348824690052,0.016644817424967644,0.05485752055592875,0.13415310322551954,14,18,155.0,0.7777777777777778
BUF,2023,64.72905800000001,47.843076,25.785683,37.744728,44.4485,8.367816,8.537299999999998,19.20726,37.791775,294.455196,0.21982650970098694,0.1624799855798775,0.08757082011213685,0.12818496162655593,0.15095165785425638,0.028417960062080208,0.028993545082491932,0.06522982192509859,0.12834473805651575,12,19,151.0,0.631578947368421
BUF,2024,36.294305,67.507298,20.930856,36.520115,48.725,7.182146,10.247579,14.720094,41.37852,283.50591299999996,0.12801956973645204,0.23811601417992298,0.07382864003968764,0.12881606106042665,0.17186590390444523,0.02533331994384188,0.03614590923893711,0.05192164722151669,0.14595293467476994,15,20,180.0,0.75
CAR,2013,9.838924,8.453894,8.407476,15.491943,6.4113750000000005,6.399783,0.54467,5.7,2.4053500000000003,63.653414999999995,0.15457024575979153,0.13281131892138073,0.1320820886043585,0.24337960500626715,0.10072318979272363,0.10054107858942055,0.00855680720350982,0.08954743433639814,0.03778823178615005,12,17,112.0,0.7058823529411765
CAR,2014,5.958617,22.105155,11.052476,12.926244,7.296504,13.133333,3.64467,6.495,4.416063,87.028062,0.06846776617868383,0.2540003131403753,0.12699899027971,0.14852960875998825,0.08384081906822191,0.15090917456027,0.04187925039626873,0.07463110002380612,0.0507429775926758,8,18,-38.0,0.4444444444444444
CAR,2015,8.708617,16.596592,21.760628,14.948524,23.518129,10.411563,4.389670000000001,9.766667,6.64025,116.74063999999998,0.07459798918354398,0.14216636126031176,0.1864014793819873,0.12804901532148533,0.20145622809674507,0.08918541991889029,0.0376019011031634,0.08366124256300121,0.05688036317087178,17,19,219.0,0.8947368421052632
CAR,2016,14.917383,18.571784,23.528962,23.998748,23.94,10.101563,7.595,10.261667,8.991285999999999,141.90639299999998,0.10512128935586433,0.13087348362099516,0.16580621565090448,0.1691167500818656,0.16870275886724853,0.07118469285594485,0.053521196892094926,0.07231292955208861,0.06336068312299362,6,16,-33.0,0.375
CAR,2017,20.194882,42.16575,25.40697,41.481918,23.1324,11.666526,4.8574,12.126467,9.222304,190.25461700000002,0.10614660668129802,0.22162799865193283,0.13354193659331798,0.2180336995448578,0.12158653684604141,0.06132059333939842,0.02553104926751922,0.0637380957750949,0.048473483300539286,11,17,31.0,0.6470588235294118
